,pickup_cluster,month,day,hour,dayofweek,count
257,21,1,1,9,3,0.026004728132387706
258,22,1,1,9,3,0.009456264775413711
259,23,1,1,9,3,0.014184397163120567
260,25,1,1,9,3,0.018912529550827423
261,26,1,1,9,3,0.002364066193853428
262,27,1,1,9,3,0.02364066193853428
263,28,1,1,9,3,0.016548463356973995
264,29,1,1,9,3,0.01182033096926714
265,0,1,1,10,3,0.03546099290780142
266,1,1,1,10,3,0.009456264775413711
267,2,1,1,10,3,0.04964539007092199
268,3,1,1,10,3,0.03309692671394799
269,4,1,1,10,3,0.01182033096926714
270,5,1,1,10,3,0.04964539007092199
271,6,1,1,10,3,0.037825059101654845
272,7,1,1,10,3,0.028368794326241134
273,8,1,1,10,3,0.016548463356973995
274,9,1,1,10,3,0.05673758865248227
275,10,1,1,10,3,0.037825059101654845
276,11,1,1,10,3,0.0070921985815602835
277,12,1,1,10,3,0.02127659574468085
278,13,1,1,10,3,0.04018912529550828
279,14,1,1,10,3,0.01182033096926714
280,15,1,1,10,3,0.0070921985815602835
281,16,1,1,10,3,0.03546099290780142
282,17,1,1,10,3,0.037825059101654845
283,18,1,1,10,3,0.07092198581560284
284,19,1,1,10,3,0.02127659574468085
285,20,1,1,10,3,0.03309692671394799
286,21,1,1,10,3,0.04964539007092199
287,22,1,1,10,3,0.01182033096926714
288,23,1,1,10,3,0.03546099290780142
289,24,1,1,10,3,0.0070921985815602835
290,25,1,1,10,3,0.028368794326241134
291,26,1,1,10,3,0.016548463356973995
292,27,1,1,10,3,0.037825059101654845
293,28,1,1,10,3,0.02364066193853428
294,29,1,1,10,3,0.004728132387706856
295,0,1,1,11,3,0.02364066193853428
296,1,1,1,11,3,0.02127659574468085
297,2,1,1,11,3,0.03309692671394799
298,3,1,1,11,3,0.014184397163120567
299,4,1,1,11,3,0.002364066193853428
300,5,1,1,11,3,0.02127659574468085
301,6,1,1,11,3,0.026004728132387706
302,7,1,1,11,3,0.02127659574468085
303,8,1,1,11,3,0.01182033096926714
304,9,1,1,11,3,0.02364066193853428
305,10,1,1,11,3,0.028368794326241134
306,11,1,1,11,3,0.014184397163120567
307,12,1,1,11,3,0.014184397163120567
308,13,1,1,11,3,0.02127659574468085
309,14,1,1,11,3,0.004728132387706856
310,15,1,1,11,3,0.004728132387706856
311,16,1,1,11,3,0.016548463356973995
312,17,1,1,11,3,0.018912529550827423
313,18,1,1,11,3,0.028368794326241134
314,19,1,1,11,3,0.014184397163120567
315,20,1,1,11,3,0.03546099290780142
316,21,1,1,11,3,0.028368794326241134
317,22,1,1,11,3,0.01182033096926714
318,23,1,1,11,3,0.026004728132387706
319,25,1,1,11,3,0.037825059101654845
320,26,1,1,11,3,0.014184397163120567
321,27,1,1,11,3,0.028368794326241134
322,28,1,1,11,3,0.028368794326241134
323,29,1,1,11,3,0.0070921985815602835
324,0,1,1,12,3,0.20094562647754138
325,1,1,1,12,3,0.0425531914893617
326,2,1,1,12,3,0.12293144208037825
327,3,1,1,12,3,0.1276595744680851
328,4,1,1,12,3,0.009456264775413711
329,5,1,1,12,3,0.11583924349881797
330,6,1,1,12,3,0.1016548463356974
331,7,1,1,12,3,0.06382978723404255
332,8,1,1,12,3,0.018912529550827423
333,9,1,1,12,3,0.09219858156028368
334,10,1,1,12,3,0.16548463356973994
335,11,1,1,12,3,0.01182033096926714
336,12,1,1,12,3,0.1111111111111111
337,13,1,1,12,3,0.15130023640661938
338,14,1,1,12,3,0.02364066193853428
339,15,1,1,12,3,0.004728132387706856
340,16,1,1,12,3,0.08274231678486997
341,17,1,1,12,3,0.09456264775413711
342,18,1,1,12,3,0.16312056737588654
343,19,1,1,12,3,0.04491725768321513
344,20,1,1,12,3,0.13238770685579196
345,21,1,1,12,3,0.18203309692671396
346,22,1,1,12,3,0.03309692671394799
347,23,1,1,12,3,0.10638297872340426
348,24,1,1,12,3,0.004728132387706856
349,25,1,1,12,3,0.18439716312056736
350,26,1,1,12,3,0.0425531914893617
351,27,1,1,12,3,0.1276595744680851
352,28,1,1,12,3,0.07328605200945626
353,29,1,1,12,3,0.016548463356973995
354,0,1,1,13,3,0.17494089834515367
355,1,1,1,13,3,0.02364066193853428
356,2,1,1,13,3,0.15130023640661938
357,3,1,1,13,3,0.1347517730496454
358,4,1,1,13,3,0.002364066193853428
359,5,1,1,13,3,0.1607565011820331
360,6,1,1,13,3,0.12056737588652482
361,7,1,1,13,3,0.1276595744680851
362,8,1,1,13,3,0.03546099290780142
363,9,1,1,13,3,0.0851063829787234
364,10,1,1,13,3,0.18439716312056736
365,11,1,1,13,3,0.02364066193853428
366,12,1,1,13,3,0.15602836879432624
367,13,1,1,13,3,0.18203309692671396
368,14,1,1,13,3,0.009456264775413711
369,15,1,1,13,3,0.014184397163120567
370,16,1,1,13,3,0.1111111111111111
371,17,1,1,13,3,0.1347517730496454
372,18,1,1,13,3,0.21513002364066194
373,19,1,1,13,3,0.04964539007092199
374,20,1,1,13,3,0.1347517730496454
375,21,1,1,13,3,0.17494089834515367
376,22,1,1,13,3,0.04728132387706856
377,23,1,1,13,3,0.15130023640661938
378,24,1,1,13,3,0.002364066193853428
379,25,1,1,13,3,0.22458628841607564
380,26,1,1,13,3,0.030732860520094562
381,27,1,1,13,3,0.16784869976359337
382,28,1,1,13,3,0.09692671394799054
383,29,1,1,13,3,0.03546099290780142
384,0,1,1,14,3,0.13002364066193853
385,1,1,1,14,3,0.030732860520094562
386,2,1,1,14,3,0.09692671394799054
387,3,1,1,14,3,0.09929078014184398
388,4,1,1,14,3,0.004728132387706856
389,5,1,1,14,3,0.05673758865248227
390,6,1,1,14,3,0.054373522458628844
391,7,1,1,14,3,0.06619385342789598
392,8,1,1,14,3,0.018912529550827423
393,9,1,1,14,3,0.06855791962174941
394,10,1,1,14,3,0.11583924349881797
395,11,1,1,14,3,0.009456264775413711
396,12,1,1,14,3,0.07328605200945626
397,13,1,1,14,3,0.14184397163120568
398,14,1,1,14,3,0.014184397163120567
399,15,1,1,14,3,0.002364066193853428
400,16,1,1,14,3,0.07092198581560284
401,17,1,1,14,3,0.08274231678486997
402,18,1,1,14,3,0.1347517730496454
403,19,1,1,14,3,0.037825059101654845
404,20,1,1,14,3,0.12529550827423167
405,21,1,1,14,3,0.11583924349881797
406,22,1,1,14,3,0.026004728132387706
407,23,1,1,14,3,0.10401891252955082
408,25,1,1,14,3,0.13711583924349882
409,26,1,1,14,3,0.016548463356973995
410,27,1,1,14,3,0.14184397163120568
411,28,1,1,14,3,0.06855791962174941
412,29,1,1,14,3,0.02127659574468085
413,0,1,1,15,3,0.2127659574468085
414,1,1,1,15,3,0.030732860520094562
415,2,1,1,15,3,0.1773049645390071
416,3,1,1,15,3,0.1773049645390071
417,4,1,1,15,3,0.016548463356973995
418,5,1,1,15,3,0.12293144208037825
419,6,1,1,15,3,0.13711583924349882
420,7,1,1,15,3,0.14657210401891252
421,8,1,1,15,3,0.028368794326241134
422,9,1,1,15,3,0.1276595744680851
423,10,1,1,15,3,0.2033096926713948
424,11,1,1,15,3,0.009456264775413711
425,12,1,1,15,3,0.1536643026004728
426,13,1,1,15,3,0.22458628841607564
427,14,1,1,15,3,0.030732860520094562
428,15,1,1,15,3,0.014184397163120567
429,16,1,1,15,3,0.13002364066193853
430,17,1,1,15,3,0.2127659574468085
431,18,1,1,15,3,0.2458628841607565
432,19,1,1,15,3,0.061465721040189124
433,20,1,1,15,3,0.20803782505910165
434,21,1,1,15,3,0.2222222222222222
435,22,1,1,15,3,0.04491725768321513
436,23,1,1,15,3,0.2127659574468085
437,24,1,1,15,3,0.004728132387706856
438,25,1,1,15,3,0.2718676122931442
439,26,1,1,15,3,0.05200945626477541
440,27,1,1,15,3,0.21513002364066194
441,28,1,1,15,3,0.14893617021276595
442,29,1,1,15,3,0.02127659574468085
443,0,1,1,16,3,0.13002364066193853
444,1,1,1,16,3,0.04728132387706856
445,2,1,1,16,3,0.1182033096926714
446,3,1,1,16,3,0.14184397163120568
447,4,1,1,16,3,0.009456264775413711
448,5,1,1,16,3,0.08274231678486997
449,6,1,1,16,3,0.08983451536643026
450,7,1,1,16,3,0.09456264775413711
451,8,1,1,16,3,0.01182033096926714
452,9,1,1,16,3,0.0591016548463357
453,10,1,1,16,3,0.13002364066193853
454,11,1,1,16,3,0.01182033096926714
455,12,1,1,16,3,0.10638297872340426
456,13,1,1,16,3,0.12529550827423167
457,14,1,1,16,3,0.01182033096926714
458,15,1,1,16,3,0.004728132387706856
459,16,1,1,16,3,0.08037825059101655
460,17,1,1,16,3,0.11347517730496454
461,18,1,1,16,3,0.14893617021276595
462,19,1,1,16,3,0.04018912529550828
463,20,1,1,16,3,0.10401891252955082
464,21,1,1,16,3,0.10638297872340426
465,22,1,1,16,3,0.02127659574468085
466,23,1,1,16,3,0.12056737588652482
467,25,1,1,16,3,0.14420803782505912
468,26,1,1,16,3,0.03546099290780142
469,27,1,1,16,3,0.13947990543735225
470,28,1,1,16,3,0.08037825059101655
471,29,1,1,16,3,0.02127659574468085
472,0,1,1,17,3,0.12293144208037825
473,1,1,1,17,3,0.04728132387706856
474,2,1,1,17,3,0.09456264775413711
475,3,1,1,17,3,0.12056737588652482
476,4,1,1,17,3,0.0070921985815602835
477,5,1,1,17,3,0.08037825059101655
478,6,1,1,17,3,0.09456264775413711
479,7,1,1,17,3,0.08983451536643026
480,8,1,1,17,3,0.02127659574468085
481,9,1,1,17,3,0.07801418439716312
482,10,1,1,17,3,0.10638297872340426
483,11,1,1,17,3,0.009456264775413711
484,12,1,1,17,3,0.10638297872340426
485,13,1,1,17,3,0.12056737588652482
486,14,1,1,17,3,0.02127659574468085
487,15,1,1,17,3,0.002364066193853428
488,16,1,1,17,3,0.04018912529550828
489,17,1,1,17,3,0.09692671394799054
490,18,1,1,17,3,0.1702127659574468
491,19,1,1,17,3,0.04018912529550828
492,20,1,1,17,3,0.10874704491725769
493,21,1,1,17,3,0.12529550827423167
494,22,1,1,17,3,0.026004728132387706
495,23,1,1,17,3,0.09692671394799054
496,25,1,1,17,3,0.09929078014184398
497,26,1,1,17,3,0.026004728132387706
498,27,1,1,17,3,0.1276595744680851
499,28,1,1,17,3,0.0851063829787234
500,29,1,1,17,3,0.016548463356973995
501,0,1,1,18,3,0.08983451536643026
502,1,1,1,18,3,0.030732860520094562
503,2,1,1,18,3,0.05200945626477541
504,3,1,1,18,3,0.07328605200945626
505,4,1,1,18,3,0.004728132387706856
506,5,1,1,18,3,0.07565011820330969
507,6,1,1,18,3,0.07092198581560284
508,7,1,1,18,3,0.06855791962174941
509,8,1,1,18,3,0.009456264775413711
510,9,1,1,18,3,0.06855791962174941
511,10,1,1,18,3,0.07092198581560284
512,11,1,1,18,3,0.009456264775413711
513,12,1,1,18,3,0.08274231678486997
514,13,1,1,18,3,0.12529550827423167
515,14,1,1,18,3,0.014184397163120567
516,15,1,1,18,3,0.004728132387706856
517,16,1,1,18,3,0.04728132387706856
518,17,1,1,18,3,0.06855791962174941
519,18,1,1,18,3,0.08274231678486997
520,19,1,1,18,3,0.02364066193853428
521,20,1,1,18,3,0.08747044917257683
522,21,1,1,18,3,0.11347517730496454
523,22,1,1,18,3,0.01182033096926714
524,23,1,1,18,3,0.08983451536643026
525,24,1,1,18,3,0.002364066193853428
526,25,1,1,18,3,0.08274231678486997
527,26,1,1,18,3,0.02364066193853428
528,27,1,1,18,3,0.11347517730496454
529,28,1,1,18,3,0.04491725768321513
530,29,1,1,18,3,0.009456264775413711
531,0,1,1,19,3,0.21749408983451538
532,1,1,1,19,3,0.061465721040189124
533,2,1,1,19,3,0.1276595744680851
534,3,1,1,19,3,0.2198581560283688
535,4,1,1,19,3,0.0070921985815602835
536,5,1,1,19,3,0.12529550827423167
537,6,1,1,19,3,0.14184397163120568
538,7,1,1,19,3,0.12056737588652482
539,8,1,1,19,3,0.02127659574468085
540,9,1,1,19,3,0.10401891252955082
541,10,1,1,19,3,0.15130023640661938
542,11,1,1,19,3,0.016548463356973995
543,12,1,1,19,3,0.13238770685579196
544,13,1,1,19,3,0.23167848699763594
545,14,1,1,19,3,0.014184397163120567
546,15,1,1,19,3,0.016548463356973995
547,16,1,1,19,3,0.08037825059101655
548,17,1,1,19,3,0.17494089834515367
549,18,1,1,19,3,0.2458628841607565
550,19,1,1,19,3,0.04728132387706856
551,20,1,1,19,3,0.1773049645390071
552,21,1,1,19,3,0.1938534278959811
553,22,1,1,19,3,0.03546099290780142
554,23,1,1,19,3,0.18439716312056736
555,24,1,1,19,3,0.002364066193853428
556,25,1,1,19,3,0.2033096926713948
557,26,1,1,19,3,0.03546099290780142
558,27,1,1,19,3,0.17966903073286053
559,28,1,1,19,3,0.09456264775413711
560,29,1,1,19,3,0.016548463356973995
561,0,1,1,20,3,0.1773049645390071
562,1,1,1,20,3,0.0591016548463357
563,2,1,1,20,3,0.16784869976359337
564,3,1,1,20,3,0.24113475177304963
565,4,1,1,20,3,0.02364066193853428
566,5,1,1,20,3,0.13947990543735225
567,6,1,1,20,3,0.10874704491725769
568,7,1,1,20,3,0.16312056737588654
569,8,1,1,20,3,0.028368794326241134
570,9,1,1,20,3,0.17257683215130024
571,10,1,1,20,3,0.13947990543735225
572,11,1,1,20,3,0.01182033096926714
573,12,1,1,20,3,0.11583924349881797
574,13,1,1,20,3,0.2576832151300236
575,14,1,1,20,3,0.03309692671394799
576,15,1,1,20,3,0.004728132387706856
577,16,1,1,20,3,0.1276595744680851
578,17,1,1,20,3,0.19621749408983452
579,18,1,1,20,3,0.2860520094562648
580,19,1,1,20,3,0.05673758865248227
581,20,1,1,20,3,0.24822695035460993
582,21,1,1,20,3,0.2222222222222222
583,22,1,1,20,3,0.018912529550827423
584,23,1,1,20,3,0.1607565011820331
585,24,1,1,20,3,0.004728132387706856
586,25,1,1,20,3,0.2907801418439716
587,26,1,1,20,3,0.018912529550827423
588,27,1,1,20,3,0.17257683215130024
589,28,1,1,20,3,0.10638297872340426
590,29,1,1,20,3,0.028368794326241134
591,0,1,1,21,3,0.16312056737588654
592,1,1,1,21,3,0.10401891252955082
593,2,1,1,21,3,0.13002364066193853
594,3,1,1,21,3,0.2222222222222222
595,4,1,1,21,3,0.030732860520094562
596,5,1,1,21,3,0.14657210401891252
597,6,1,1,21,3,0.1276595744680851
598,7,1,1,21,3,0.14420803782505912
599,8,1,1,21,3,0.02127659574468085
600,9,1,1,21,3,0.1536643026004728
601,10,1,1,21,3,0.09456264775413711
602,11,1,1,21,3,0.002364066193853428
603,12,1,1,21,3,0.11347517730496454
604,13,1,1,21,3,0.18439716312056736
605,14,1,1,21,3,0.03309692671394799
606,15,1,1,21,3,0.0070921985815602835
607,16,1,1,21,3,0.11347517730496454
608,17,1,1,21,3,0.2293144208037825
609,18,1,1,21,3,0.20803782505910165
610,19,1,1,21,3,0.05673758865248227
611,20,1,1,21,3,0.2198581560283688
612,21,1,1,21,3,0.21513002364066194
613,22,1,1,21,3,0.018912529550827423
614,23,1,1,21,3,0.14184397163120568
615,24,1,1,21,3,0.0070921985815602835
616,25,1,1,21,3,0.2222222222222222
617,26,1,1,21,3,0.028368794326241134
618,27,1,1,21,3,0.14420803782505912
619,28,1,1,21,3,0.09692671394799054
620,29,1,1,21,3,0.028368794326241134
621,0,1,1,22,3,0.16312056737588654
622,1,1,1,22,3,0.0851063829787234
623,2,1,1,22,3,0.12056737588652482
624,3,1,1,22,3,0.1938534278959811
625,4,1,1,22,3,0.02127659574468085
626,5,1,1,22,3,0.10638297872340426
627,6,1,1,22,3,0.08037825059101655
628,7,1,1,22,3,0.13711583924349882
629,8,1,1,22,3,0.037825059101654845
630,9,1,1,22,3,0.19621749408983452
631,10,1,1,22,3,0.13711583924349882
632,11,1,1,22,3,0.0070921985815602835
633,12,1,1,22,3,0.12056737588652482
634,13,1,1,22,3,0.2033096926713948
635,14,1,1,22,3,0.030732860520094562
636,15,1,1,22,3,0.0070921985815602835
637,16,1,1,22,3,0.06619385342789598
638,17,1,1,22,3,0.19148936170212766
639,18,1,1,22,3,0.1773049645390071
640,19,1,1,22,3,0.04728132387706856
641,20,1,1,22,3,0.2458628841607565
642,21,1,1,22,3,0.17966903073286053
643,22,1,1,22,3,0.01182033096926714
644,23,1,1,22,3,0.12293144208037825
645,24,1,1,22,3,0.002364066193853428
646,25,1,1,22,3,0.2765957446808511
647,26,1,1,22,3,0.028368794326241134
648,27,1,1,22,3,0.16784869976359337
649,28,1,1,22,3,0.04964539007092199
650,29,1,1,22,3,0.018912529550827423
651,0,1,1,23,3,0.11347517730496454
652,1,1,1,23,3,0.018912529550827423
653,2,1,1,23,3,0.05200945626477541
654,3,1,1,23,3,0.08983451536643026
655,4,1,1,23,3,0.0070921985815602835
656,5,1,1,23,3,0.04018912529550828
657,6,1,1,23,3,0.02364066193853428
658,7,1,1,23,3,0.04964539007092199
659,8,1,1,23,3,0.01182033096926714
660,9,1,1,23,3,0.08747044917257683
661,10,1,1,23,3,0.0070921985815602835
662,11,1,1,23,3,0.0070921985815602835
